error_code,timestamp,user_message
KABUTO-0101,2025-07-20T09:15:12+09:00,"起動直後に画面が紫色に点滅しフリーズ。周辺機器の電源を5秒以上抜いて再試行しても改善せず。"
KABUTO-0102,2025-07-20T10:03:45+09:00,"アプリ鬼灯を起動するとファンが停止し無音のまま。10分で復帰せず不安。"
KABUTO-0103,2025-07-21T08:22:11+09:00,"ログイン時に虚無エラーが表示され正しいパスワードでも入れない。"
KABUTO-0104,2025-07-21T12:55:09+09:00,"電源ランプが緑色で点滅し操作を受け付けない。龍玉長押しで解除できず。"
KABUTO-0105,2025-07-22T14:40:02+09:00,"接続ディスプレイが白黒表示のままカラーに戻らない。ケーブル差し直しでも変化なし。"
KABUTO-0106,2025-07-22T19:31:27+09:00,"デスクトップのアイコンが逆さまに表示され続ける。"
KABUTO-0107,2025-07-23T09:05:50+09:00,"文字入力中にかぶとが自動でカタカナへ変換される。無効化方法が分からない。"
KABUTO-0108,2025-07-23T23:14:36+09:00,"電源を切っても本体から波の音が続く。完全に停止させたい。"
KABUTO-0109,2025-07-24T11:47:03+09:00,"ネットワークに接続すると他デバイスから見えなくなる。可視化の設定が見当たらない。"
KABUTO-0110,2025-07-24T16:29:41+09:00,"画面の隅に光の点が不規則に現れて作業の妨げになる。"
KABUTO-0111,2025-07-25T07:58:12+09:00,"ファイル管理で特定フォルダ名がひらがなとして読み取られる。"
KABUTO-0112,2025-07-25T13:20:55+09:00,"外部ストレージを接続すると幽霊アイコンが表示され認識しない。"
KABUTO-0113,2025-07-26T09:40:22+09:00,"スクリーンショットが中央の円形だけ保存される。全画面で保存したい。"
KABUTO-0114,2025-07-26T21:02:33+09:00,"動画再生時に映像が水墨画のようなモノクロになる。フィルターを無効にできない。"
KABUTO-0115,2025-07-27T15:18:49+09:00,"起動後に背景画像が直前の夢の内容になっている。機能停止の設定が分からない。"
KABUTO-0116,2025-07-28T10:12:05+09:00,"鬼灯実行中に無音状態が15分以上続き過熱が不安。"
KABUTO-0117,2025-07-28T18:34:27+09:00,"忍びの道を有効にしてもネットワーク上に表示されない。"
KABUTO-0118,2025-07-29T08:01:39+09:00,"龍玉ボタンを5秒以上押しても禅モードから復帰しない。"
KABUTO-0119,2025-07-29T13:55:10+09:00,"周辺機器を外しても紫点滅フリーズが解消しない。"
KABUTO-0120,2025-07-30T09:23:44+09:00,"ヤタガラスの停止ショートカットが効かず自動変換が止まらない。"
KABUTO-0121,2025-07-30T22:11:03+09:00,"天狗のいたずらが一日に数回発生しアイコンが頻繁に逆さまになる。"
KABUTO-0122,2025-07-31T11:45:58+09:00,"稲荷の高負荷時に狐火が連続して出現し操作が重い。"
KABUTO-0123,2025-08-01T07:30:21+09:00,"読み方優先モードを無効にしてもフォルダ名の読み誤りが続く。"
KABUTO-0124,2025-08-01T16:06:47+09:00,"外部ストレージをフォーマット後も幽霊アイコンが表示される。"
KABUTO-0125,2025-08-02T12:19:35+09:00,"万華鏡が常に集中モードになり全画面の撮影ができない。"
KABUTO-0126,2025-08-02T20:55:19+09:00,"玉手箱でケーブルの向きを逆にしてもカラー表示に戻らない。"
KABUTO-0127,2025-08-03T10:13:02+09:00,"鬼灯実行中に過熱警告が表示され強制終了したい。"
KABUTO-0128,2025-08-03T18:44:28+09:00,"百鬼夜行の精神波形判定に何度も失敗し虚無エラーが継続する。"
KABUTO-0129,2025-08-04T09:59:41+09:00,"夢の海から通常起動までに時間がかかりすぎる。"
KABUTO-0130,2025-08-04T17:22:54+09:00,"シノビ・プロトコル初期化で同期失敗の警告が間欠的に発生する。"
